Number,Start date,Start station number,Start station,End date,End station number,End station,Bike number,Bike model,Total duration,Total duration (ms)
132825567,8/1/2023 3:17,300034,"St. Mark's Road, North Kensington",8/1/2023 3:40,300034,"St. Mark's Road, North Kensington",54114,CLASSIC,22m 43s,1363831
132825568,8/1/2023 3:18,300063,"Burgess Park Albany Road, Walworth",8/1/2023 3:24,300225,"Normandy Road, Stockwell",60372,PBSC_EBIKE,5m 39s,339286
132825569,8/1/2023 3:18,3495,"Wells Street, Fitzrovia",8/1/2023 3:27,3464,"Green Street, Mayfair",55315,CLASSIC,9m 13s,553482
132825570,8/1/2023 3:18,3495,"Wells Street, Fitzrovia",8/1/2023 3:27,3464,"Green Street, Mayfair",55494,CLASSIC,9m 13s,553786
132825571,8/1/2023 3:20,1078,"Lambeth Road, Vauxhall",8/1/2023 3:24,300224,"New Spring Gardens Walk, Vauxhall",16694,CLASSIC,4m 32s,272762
132825572,8/1/2023 3:21,1151,"Whitehall Place, Strand",8/1/2023 3:33,3470,"Great Percy Street, Clerkenwell",60553,PBSC_EBIKE,11m 34s,694877
132825573,8/1/2023 3:22,1151,"Whitehall Place, Strand",8/1/2023 3:33,3470,"Great Percy Street, Clerkenwell",60442,PBSC_EBIKE,10m 32s,632367
132825574,8/1/2023 3:23,3494,"Foley Street, Fitzrovia",8/1/2023 13:42,200207,"Hartington Road, Stockwell",57222,CLASSIC,10h 19m 20s,37160967
132825575,8/1/2023 3:27,3445,"Shoreditch High Street, Shoreditch",8/1/2023 3:44,22175,"Canton Street, Poplar",59674,CLASSIC,16m 15s,975263
132825576,8/1/2023 3:30,200006,"Hewison Street, Old Ford",8/1/2023 3:42,300040,"Ada Street, Hackney Central",57889,CLASSIC,12m 17s,737972
132825577,8/1/2023 3:34,1222,"Goswell Road (City Uni), Finsbury",8/1/2023 3:54,200039,"Sail Street, Vauxhall",60428,PBSC_EBIKE,20m 10s,1210910
132825578,8/1/2023 3:38,200003,"Cheshire Street, Bethnal Green",8/1/2023 3:42,200157,"Fournier Street, Whitechapel",60603,PBSC_EBIKE,3m 54s,234902
132825579,8/1/2023 3:42,3500,"Baldwin Street, St. Luke's",8/1/2023 3:58,200068,"Somerset House, Strand",59092,CLASSIC,16m 35s,995928
132825581,8/1/2023 3:43,1174,"Alderney Street, Pimlico",8/1/2023 3:45,1106,"Rampayne Street, Pimlico",56843,CLASSIC,2m 10s,130013
